iter	Passed	Remaining
0	2	2945
1	5	2653
2	8	2664
3	10	2650
4	13	2619
5	15	2632
6	18	2606
7	21	2650
8	23	2587
9	26	2609
10	29	2653
11	32	2685
12	35	2699
13	38	2710
14	41	2737
15	44	2741
16	47	2773
17	51	2782
18	53	2781
19	56	2782
20	59	2778
21	62	2784
22	66	2813
23	80	3292
24	104	4069
25	113	4250
26	119	4303
27	123	4275
28	126	4231
29	131	4245
30	134	4216
31	141	4280
32	146	4303
33	150	4282
34	154	4247
35	157	4212
36	160	4179
37	164	4152
38	167	4116
39	170	4083
40	173	4055
41	176	4023
42	179	3991
43	182	3964
44	185	3930
45	187	3897
46	190	3869
47	193	3841
48	196	3814
49	199	3791
50	202	3768
51	205	3741
52	208	3717
53	210	3694
54	213	3670
55	216	3652
56	219	3633
57	222	3616
58	225	3596
59	228	3582
60	231	3564
61	234	3547
62	238	3540
63	240	3522
64	243	3506
65	246	3489
66	249	3478
67	252	3462
68	255	3448
69	258	3431
70	260	3413
71	263	3401
72	266	3389
73	269	3376
74	272	3360
75	275	3347
76	278	3332
77	281	3324
78	284	3319
79	287	3306
80	290	3293
81	292	3278
82	296	3271
83	298	3258
84	301	3248
85	304	3235
86	307	3225
87	310	3214
88	314	3217
89	317	3214
90	320	3203
91	323	3191
92	326	3187
93	330	3181
94	333	3174
95	335	3163
96	338	3152
97	341	3145
98	345	3141
99	348	3132
100	350	3120
101	353	3113
102	356	3104
103	359	3096
104	362	3089
105	365	3081
106	368	3074
107	370	3064
108	373	3054
109	376	3047
110	380	3044
111	383	3040
112	386	3031
113	388	3023
114	392	3018
115	394	3010
116	397	3002
117	400	2996
118	403	2988
119	406	2980
120	409	2973
121	412	2970
122	415	2960
123	417	2952
124	420	2945
125	423	2939
126	426	2935
127	429	2927
128	432	2919
129	435	2911
130	437	2903
131	441	2902
132	445	2902
133	447	2894
134	450	2886
135	453	2880
136	456	2874
137	459	2869
138	462	2862
139	464	2856
140	467	2848
141	470	2842
142	473	2835
143	476	2832
144	479	2825
145	481	2818
146	484	2810
147	487	2804
148	489	2796
149	492	2789
150	494	2782
151	497	2775
152	500	2768
153	502	2762
154	505	2755
155	508	2749
156	510	2743
157	513	2736
158	516	2731
159	519	2725
160	521	2719
161	524	2713
162	527	2706
163	529	2700
164	532	2694
165	535	2691
166	538	2685
167	541	2679
168	544	2675
169	546	2669
170	549	2663
171	552	2658
172	555	2653
173	558	2649
174	560	2643
175	563	2638
176	566	2633
177	569	2628
178	572	2625
179	575	2623
180	578	2618
181	581	2612
182	584	2607
183	586	2602
184	589	2596
185	592	2591
186	594	2585
187	597	2580
188	600	2575
189	603	2573
190	606	2570
191	609	2566
192	612	2562
193	616	2559
194	619	2555
195	621	2550
196	624	2544
197	626	2539
198	629	2533
199	632	2530
200	635	2524
201	637	2519
202	640	2513
203	642	2508
204	645	2504
205	648	2500
206	651	2497
207	654	2493
208	657	2490
209	660	2486
210	663	2482
211	666	2477
212	669	2473
213	672	2469
214	675	2466
215	678	2462
216	681	2460
217	684	2457
218	687	2452
219	691	2450
